Country,Region,adm1_code
Dominican Republic,La Romana,1119
Dominican Republic,La Vega,1120
Dominican Republic,Maria Trinidad Sanches,1121
Dominican Republic,Monsenor Nouel,36855
Dominican Republic,Monte Cristi,1122
Dominican Republic,Monte Plata,36856
Dominican Republic,Pedernales,1123
Dominican Republic,Peravia,1124
Dominican Republic,Puerto Plata,1125
Dominican Republic,Salcedo,1126
Dominican Republic,Samana,1127
Dominican Republic,San Cristobal,1128
Dominican Republic,San José de Ocoa,36857
Dominican Republic,San Juan,1129
Dominican Republic,San Pedro de Macoris,1130
Dominican Republic,Sanchez Ramirez,1131
Dominican Republic,Santiago,1132
Dominican Republic,Santiago Rodriguez,1133
Dominican Republic,Santo Domingo,1112
Dominican Republic,Valverde,1134
Ecuador,Azuay,1135
Ecuador,Bolivar,1136
Ecuador,Canar,1137
Ecuador,Carchi,1138
Ecuador,Chimborazo,1139
Ecuador,Cotopaxi,1140
Ecuador,El Oro,1141
Ecuador,Esmeraldas,1142
Ecuador,Galapagos,1143
Ecuador,Guayas,22005
Ecuador,Imbabura,1145
Ecuador,Loja,1146
Ecuador,Los Rios,1147
Ecuador,Manabi,1148
Ecuador,Morona Santiago,1149
Ecuador,Napo,1150
Ecuador,Orellana,1151
Ecuador,Pastaza,1152
Ecuador,Pichincha,22006
Ecuador,Santa Elena,22007
Ecuador,Santo Domingo de los Tsachilas,22008
Ecuador,Sucumbios,1154
Ecuador,Tungurahua,1155
Ecuador,Zamora Chinchipe,1156
Ecuador,Zona No Delimitada,1157
Egypt,Alexandria,61510
Egypt,Assiut,61511
Egypt,Aswan,61512
Egypt,Behera,61513
Egypt,Beni Suef,61514
Egypt,Cairo,61515
Egypt,Dakahlia,61516
Egypt,Damietta,61517
Egypt,Fayoum,61518
Egypt,Gharbia,61519
Egypt,Giza,61520
Egypt,Ismailia,61521
Egypt,Kafr El-Shikh,61522
Egypt,Kalyoubia,61523
Egypt,Luxor,61524
Egypt,Matrouh,61525
Egypt,Menia,61526
Egypt,Menoufia,61527
Egypt,New Valley,61528
Egypt,North Sinai,61529
Egypt,Port Said,61530
Egypt,Qena,61531
Egypt,Red Sea,61532
Egypt,Shrkia,61533
Egypt,South Sinai,61534
Egypt,Suez,61535
Egypt,Suhag,61536
El Salvador,Ahuachapan,1184
El Salvador,Cabanas,1185
El Salvador,Chalatenango,1186
El Salvador,Cuscatlan,1187
El Salvador,La Libertad,1188
El Salvador,La Paz,1189
El Salvador,La Union,1190
El Salvador,Morazan,1191
El Salvador,San Miguel,1192
El Salvador,San Salvador,1193
El Salvador,San Vicente,1194
El Salvador,Santa Ana,1195
El Salvador,Sonsonate,1196
El Salvador,Usulutan,1197
Ethiopia,Addis Ababa,1227
Ethiopia,Afar,1228
Ethiopia,Amhara,1229
Ethiopia,Beneshangul Gumu,1230
Ethiopia,Dire Dawa,1231
Ethiopia,Gambela,1232
Ethiopia,Hareri,1233
Ethiopia,Oromia,47678
Ethiopia,SNNPR,1236
Ethiopia,Somali,47679
Ethiopia,Tigray,1237
Fiji,Central,40187
Fiji,Eastern,40188
Fiji,Northern,40189
Fiji,Western,40190
Gabon,Estuaire,1275
Gabon,Haut-Ogooue,1276
Gabon,Moyen-Ogooue,1277
Gabon,Ngounie,1278
Gabon,Nyanga,1279
Gabon,Ogooue-Ivindo,1280
Gabon,Ogooue-Maritime,1282
Gabon,Ogooue-lolo,1281
Gabon,Woleu-Ntem,1283
Ghana,Ashanti,1324
Ghana,Brong Ahafo,1325
Ghana,Central,1326
Ghana,Eastern,1327
Ghana,Greater Accra,1328
Ghana,Northern,1329
Ghana,Upper East,1330
Ghana,Upper West,1331
Ghana,Volta,1332
Ghana,Western,1333
Guatemala,Alta Verapaz,64836
Guatemala,Baja Verapaz,64835
Guatemala,Chimaltenango,64824
Guatemala,Chiquimula,64840
Guatemala,El Progreso,64822
Guatemala,Escuintla,64825
Guatemala,Guatemala,64821
Guatemala,Huehuetenango,64833
Guatemala,Izabal,64838
Guatemala,Jalapa,64841
Guatemala,Jutiapa,64842
Guatemala,Petén,64837
Guatemala,Quetzaltenango,64829
Guatemala,Quiché,64834
Guatemala,Retalhuleu,64831
Guatemala,Sacatepéquez,64823
Guatemala,San Marcos,64832
Guatemala,Santa Rosa,64826
Guatemala,Sololá,64827
Guatemala,Suchitepéquez,64830
Guatemala,Totonicapán,64828
Guatemala,Zacapa,64839
Guinea,Boke,40700
Guinea,Conakry,40701
Guinea,Faranah,40702
Guinea,Kankan,40703
Guinea,Kindia,40704
Guinea,Labe,40705
