system:index,ADM1_CODE,ADM2_CODE,ADM2_NAME,Country,Median_Pop,StdDev_Pop,Total_Pop,Year,.geo
1_1_2_00000000000000000ceb,147331,21827,Tata,Morocco,0.027441315594350067,1.8666151306942975,35724.705248143575,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cee,147332,21823,Laâyoune,Morocco,0.015604414607766966,2.290675530286642,4611.866039037502,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cef,147333,21829,El Kelaâ des Sraghna,Morocco,0.3585573176761435,4.597467530995516,510068.2622244977,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf0,147333,21830,Essaouira,Morocco,0.6138514270628713,2.796987860098398,174563.5575746091,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf4,147334,21810,Khémisset,Morocco,0.26198607461049683,11.709645325542404,323589.4979090334,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf5,147334,21812,Rabat,Morocco,22.902485515517103,48.55639458275097,577551.8977960242,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf6,147334,21813,Salé,Morocco,0.5195853927188399,38.95118955344321,627020.9983281738,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf8,147335,21826,Taroudannt,Morocco,0.7267348874566265,3.8726156700605037,436341.5518132716,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf9,147335,21828,Tiznit,Morocco,0.19536857257741025,3.114875945660713,192442.222693829,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cff,147336,21799,Azilal,Morocco,0.8715209223410966,4.908927995134247,228149.62880293455,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d00,147336,21802,Béni Mellal,Morocco,0.437998269115356,7.8086353304101,732342.6542511955,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d01,147337,21808,Chefchaouen,Morocco,1.233815561319461,4.74490979702944,180535.52113006162,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d02,147337,21811,Larache,Morocco,0.8030467655901615,12.901630789995673,306804.15939044143,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d03,147337,21817,Tétouan,Morocco,0.429616297887478,15.61071432689908,507602.6134769916,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d06,147338,21787,Al Hoceïma,Morocco,1.2243949936395344,8.667814512063305,219133.90454219334,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d07,147338,21790,Taounate,Morocco,1.1185391917990513,3.1671603441029954,235436.61391861114,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d08,147338,21791,Taza,Morocco,0.37621688578834234,9.433319985810236,346331.4151719534,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000204f,1705,36719,Al-Muwaqar,Jordan,0.43292336147639815,1.5748087083574807,27573.89004235993,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002050,1705,36715,Al-Jeeza,Jordan,0.18685306334451185,0.7216921974030536,34053.8486241466,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002051,1705,36717,Amman,Jordan,88.26179038533382,17.381402323847244,561502.184724976,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002052,1705,36714,Jami'ah,Jordan,18.758396225773485,10.504706617326569,282942.7801584705,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002053,1705,36718,Marka,Jordan,25.75404592660757,28.476648713452263,486879.76102904655,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002054,1705,36720,Na'oor,Jordan,2.4374586357700876,3.3986102342778173,62185.49321420498,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002055,1705,36716,Qwaismeh,Jordan,15.755135520074745,9.808924912163608,260914.63900571642,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002056,1705,36721,Sahab,Jordan,0.5553302392891251,6.3700057946319095,50977.17548164406,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002057,1705,36722,Wadisseer,Jordan,5.746671899889243,12.062236708598217,175677.27968166032,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002058,1703,36724,Al-Qwaira,Jordan,0.17919977988838431,0.30007736303166965,4550.881181011254,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002059,1702,36728,Al-Ruseifa,Jordan,1.2351117133601537,28.83350111440955,298520.32518795185,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
