Country,ADM1_CODE,ADM2_CODE,ADM2_NAME,Year,Median_Pop,StdDev_Pop,Total_Pop,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI
Turkey,3032,27614,Inhisar,2015,0.1212578423473299,0.3371870310578612,1051.207460147018,0.0024244987270545,1718.00831400516,283.0284482758621,0.0,1.500017046625388,1.5399010135311428,117.73663211061624,0.4129645228385925,0.0560816034216004
Turkey,3032,27614,Inhisar,2016,0.1128901749034412,0.3566776309043039,1092.2651701485408,0.002304738574393,1736.830144317653,283.1800000000002,0.0,1.7482316350385103,1.9934828474959077,137.21904382468935,0.3986953496932983,0.0561513321878075
Turkey,3032,27614,Inhisar,2017,0.1133424476362191,0.3317672869085165,1024.1534937506724,0.0021734492938765,1595.7089839823266,282.7041228070175,0.0,2.127189026512664,2.1987923585986904,166.96348378686653,0.4084533452987671,0.0575056639637109
Turkey,3032,27614,Inhisar,2018,0.0977411297778807,0.3413851037268236,1006.6174638356922,0.0022598427562868,1774.2761740880203,284.54575342465773,0.0,2.5618015736108783,2.5201345429733766,201.07630782675187,0.3993311524391174,0.0577013637396675
Turkey,3032,27614,Inhisar,2019,0.0975339169165602,0.3278924167586083,968.7158987974036,0.0022955631550587,1824.018564811947,283.6287336244542,0.0,2.7547141310683663,2.6413651366569586,216.2180522875817,0.3914246467443613,0.0638181134830835
Turkey,3032,27614,Inhisar,2020,0.0895845787959862,0.3217131529680721,887.9573503326113,0.0021321039763677,1626.9505096366909,283.75713080168777,0.0,2.7154449534897016,2.7772727945191824,213.1358068395936,0.399447577410057,0.061193245602405
Turkey,3032,27614,Inhisar,2021,0.08031,0.30697,831.96331,0.0021040393101392,1650.0693153732566,282.6819917012448,0.0,2.7157435109263623,2.744830185921449,213.1592406713378,0.3912035226821899,0.0601150768717356
Turkey,3032,27614,Inhisar,2022,0.07103,0.29223,775.96927,0.0022591157804454,1777.439938449287,282.12948717948734,0.0,2.741688312629632,2.514582579995306,215.19565324424343,0.4108574787775675,0.0521610367513037
Turkey,3032,27614,Inhisar,2023,0.06175,0.27749,719.97524,0.0022735439727686,1650.717422340729,283.66713567839184,0.0,2.996404911856542,2.7677681162961525,235.18840906199483,0.414666074514389,0.0560380768230744
Turkey,3032,27614,Inhisar,2024,0.05247,0.26275,663.9812,0.0023665035288345,1805.3881946312767,283.81442060085834,0.0,2.900650525316782,2.7256975785986075,227.6726284871192,0.4229945639769236,0.0591956106183866
Turkey,3032,27615,Merkez,2015,0.358250716178864,3.661451605450413,67672.86540237564,0.0090774486045741,13473.208443631693,281.7507548819244,0.87699625530603,8.121062250984242,13.277533746821671,4477.826335980929,0.4108642637729645,0.0829097734700459
Turkey,3032,27615,Merkez,2016,0.3638057928844171,3.875548923677579,71178.64610685178,0.0088601713210195,13556.226618009076,282.072118349396,0.9180189201371628,8.499507545995979,13.620233488548214,4686.495135253616,0.4073959589004516,0.0868513799751992
Turkey,3032,27615,Merkez,2017,0.3659690814320049,3.930541844015401,73762.61583055077,0.0084928296209087,13660.492448193776,281.4963646488997,0.8735624214710436,8.97332433533928,14.46622450301874,4947.750280477288,0.3954625924428304,0.0838070877638019
Turkey,3032,27615,Merkez,2018,0.3660437105452492,4.271781375898549,76666.67954571953,0.0089263193374168,13533.134469864455,283.57270096849305,1.1557128696671155,9.043375273666816,15.091312555360462,4986.375269032842,0.4087778851389885,0.0822301551860701
Turkey,3032,27615,Merkez,2019,0.3606778730607064,4.932517309577057,81933.71708450359,0.0090843153767038,13485.85450055571,282.9363739700969,0.8413650638348866,9.563971620261372,15.796363240524828,5273.423928327879,0.4072191450330946,0.0880978574733736
Turkey,3032,27615,Merkez,2020,0.369688340766466,5.813329542596937,87656.84592338247,0.0087322535286605,13570.396987766191,282.42177587901114,0.8225306053258435,10.14810729828893,17.62307320967989,5595.507178279679,0.4169701430836373,0.0843314159243542
Turkey,3032,27615,Merkez,2021,0.36165,6.18436,91116.37001,0.0087167325651949,13602.075179468722,281.5720898557171,0.8831949380617451,10.994471359800512,19.123268421310552,6062.179045498159,0.4112157896161079,0.0870779443336283
Turkey,3032,27615,Merkez,2022,0.35362,6.5554,94575.89409,0.0089168388941763,13557.37774671119,280.76112756827126,0.8912316424341435,11.332991790839754,18.74612022397921,6248.83390104879,0.4115180884088789,0.0860916746839852
Turkey,3032,27615,Merkez,2023,0.34559,6.92644,98035.41818,0.0088595747163112,13549.683764602913,282.52556470145066,0.9631116599234892,11.43813110579333,18.37714944361997,6306.806070070034,0.4130106203724968,0.0869454844345722
Turkey,3032,27615,Merkez,2024,0.33755,7.29747,101494.94226,0.0090279902180485,13532.9919073722,282.567217486662,0.89628386990666,11.088089012032738,17.691325493642758,6113.798350426817,0.4190222509205341,0.0908025052738729
Turkey,3032,27616,Osmaneli,2015,0.1762177117121784,1.6856314309975888,18445.41220704907,0.0103037363276289,16746.917716923985,283.42073919645014,0.57763927116338,4.377549518517938,9.666293239796984,1291.8577800667856,0.4500335156917572,0.069394762690102
Turkey,3032,27616,Osmaneli,2016,0.1800093376226978,1.781030642555351,19602.88291362173,0.0102747365257053,16778.28754619386,283.5624260376991,0.5176746029012249,4.830793323846066,10.875669127068615,1425.6144705858353,0.4393837746204597,0.0706869109298853
Turkey,3032,27616,Osmaneli,2017,0.1808647075846987,1.7282688131652406,19452.578850191592,0.0098074001525004,17022.169050472206,282.96397996856814,0.5300046223937603,5.231487470999492,11.46956135583777,1543.8632417848028,0.420421302318573,0.0765716203756491
Turkey,3032,27616,Osmaneli,2018,0.1766213223578802,1.8131066346837,19566.514557512804,0.0104482336091843,16675.98526443581,285.3493357112181,0.4218822466966873,4.839656576124805,9.83096973877958,1428.2301032279213,0.4540648534893989,0.0649085746661649
Turkey,3032,27616,Osmaneli,2019,0.050480827443614,2.128302005604791,20014.26066847764,0.0101728339478056,16842.74880995245,284.17381397954404,0.4776245732276967,5.150083027328552,10.29561537598388,1519.8399923747274,0.4390162900090217,0.0787941509808003
Turkey,3032,27616,Osmaneli,2020,0.0473679729999658,2.642237701088722,20079.159221901748,0.0099923917906856,16911.751616249447,284.080244021049,0.6023326479692139,6.0529533757648695,13.1256894128709,1786.2858838683674,0.4389264386119016,0.0764138375699442
Turkey,3032,27616,Osmaneli,2021,0.03067,2.76769,20223.59663,0.0099911809677546,16918.100581300194,283.3282321726768,0.6507632338439475,6.345694604372491,13.354551339598109,1872.6766904425212,0.438191682100296,0.0684420202798146
Turkey,3032,27616,Osmaneli,2022,0.01397,2.89314,20368.03403,0.0099660977430822,16945.504127724056,282.5433695783297,0.5877494782342538,6.680892163673503,13.607800817951468,1971.596776442832,0.4386100868384043,0.0710798464425285
Turkey,3032,27616,Osmaneli,2023,-0.00272,3.01859,20512.47143,0.0100240873777725,16892.639048018,284.1838123483625,0.5303598272582755,7.013525277836463,14.435300739102654,2069.7600695412834,0.44678395986557,0.0685718772522298
Turkey,3032,27616,Osmaneli,2024,-0.01942,3.14404,20656.90884,0.0102312074242351,16811.681910223993,284.1968810181969,0.6655280521615401,7.280295996995881,15.21851698419276,2148.486724164435,0.4518029276604396,0.0808523755292675
Turkey,3032,27617,Pazaryeri,2015,0.2811030964929772,1.2757773132394885,8859.371535745215,0.0065746493549643,4460.868037555993,278.27050712123963,0.7643005558457855,3.729017893817905,5.955758071683237,681.8107069857489,0.4895241558551788,0.0649646886991817
Turkey,3032,27617,Pazaryeri,2016,0.2798486006860664,1.2462545084609025,8976.508534486968,0.0062212960689757,4526.768337614612,278.3132725642731,0.5857851618582175,3.926197163026031,6.107527548126204,717.8628099173554,0.4755065441131592,0.0613094818795768
Turkey,3032,27617,Pazaryeri,2017,0.2822127252341214,1.187229997463176,8755.27871274473,0.0059535642485816,4557.478439091406,278.11328333359603,0.7867724482588535,4.386431453982869,7.0411660299495535,802.0116867078324,0.4388683338960011,0.0668082146427944
Turkey,3032,27617,Pazaryeri,2018,0.3092213735229792,1.216762044826316,8642.097088810917,0.0064599069190744,4483.08672754708,279.7141812363637,0.5641444138442244,4.847188505184463,7.671987669592816,886.2561445714525,0.4755401968955993,0.0555076297215618
Turkey,3032,27617,Pazaryeri,2019,0.1819473499074971,1.3402533697293704,8716.478819491247,0.0065598667616463,4622.602193026547,279.43331761821776,0.4691452486152214,5.571832727476677,9.043392265133214,1018.7495258269512,0.4681348077304194,0.0669587294894342
Turkey,3032,27617,Pazaryeri,2020,0.1778585307773771,1.5295125019960825,8518.230029787022,0.0061156662977299,4553.903156554628,279.2604636076352,0.6069528131671997,5.368871025646115,9.05549035831966,981.6401674498998,0.4558950513601303,0.0725500784534751
Turkey,3032,27617,Pazaryeri,2021,0.16523,1.56894,8461.39991,0.0060649544150411,4628.8658467238765,278.208939827739,0.5446964523697585,5.499837973893904,9.358167576848924,1005.5860615483502,0.463724950949351,0.0711338619734238
Turkey,3032,27617,Pazaryeri,2022,0.1526,1.60837,8404.56978,0.0064289186643408,4652.203698755174,277.77147499544344,0.6123437813852896,5.3923412126700425,8.651914753833509,985.9314380373648,0.4719228707253933,0.0665704049699745
