system:index,Country,Mean_Precip,Region,StdDev_Precip,Sum_Precip,Year,.geo
2_000000000000000000e3,United Republic of Tanzania,828.0553685407039,Simiyu,72.97033114233358,31501.824040052426,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ca,United Republic of Tanzania,1578.1586635599542,Dar-es-salaam,140.5625224746958,57426.40878106987,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cb,United Republic of Tanzania,665.1612148973857,Dodoma,71.41338099176419,19907.88389057587,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cf,United Republic of Tanzania,1901.0760550498962,Kaskazini Pemba,0.0,1438.8536416652155,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d0,United Republic of Tanzania,942.8608722686768,Kaskazini Unguja,0.0,432.6067531585693,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d2,United Republic of Tanzania,1039.7507168900095,Kigoma,137.19300128290567,11180.378296911395,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d3,United Republic of Tanzania,975.4168440893802,Kilimanjaro,262.0524298862506,58329.92727654494,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d4,United Republic of Tanzania,1901.0760550498962,Kusini Pemba,0.0,454.7672131687987,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d5,United Republic of Tanzania,1026.1583401395146,Kusini Unguja,37.24056851922357,3967.812248539457,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d6,United Republic of Tanzania,998.2283835709095,Lindi,40.92682626843487,1996.456767141819,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d8,United Republic of Tanzania,1138.3988992644704,Mara,154.8691688886287,94348.71504727573,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d9,United Republic of Tanzania,1223.5807119911494,Mbeya,243.43162181140156,70377.48354029094,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000da,United Republic of Tanzania,1014.0932459778984,Mjini Magharibi,37.655520507238194,2903.0904688779046,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000db,United Republic of Tanzania,1327.3774220076475,Morogoro,325.7430640489418,14601.151642084122,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000dc,United Republic of Tanzania,,Mtwara,,0.0,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000df,United Republic of Tanzania,1582.7594949473305,Pwani,153.66976645273482,38656.57307659599,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e1,United Republic of Tanzania,1072.426905874981,Ruvuma,53.870849155680936,26482.636181548063,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e4,United Republic of Tanzania,693.056298808012,Singida,27.26432336880685,24305.89207937275,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e5,United Republic of Tanzania,833.8714218344477,Tabora,79.14883747445157,46389.41172605284,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
