system:index,Country,Mean_PDSI,Region,StdDev_PDSI,Year,.geo
2_000000000000000000d4,United Republic of Tanzania,-2.2241666666666666,Kusini Pemba,0.0,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d5,United Republic of Tanzania,-2.8242795232936078,Kusini Unguja,0.06165405276396778,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d6,United Republic of Tanzania,-1.9395833333333334,Lindi,0.14375000000000104,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d8,United Republic of Tanzania,-0.2915673401469986,Mara,0.6160214410621353,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000d9,United Republic of Tanzania,-1.1424916479170923,Mbeya,0.6521513489554743,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000da,United Republic of Tanzania,-2.81589255499154,Mjini Magharibi,0.05545216073002058,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000db,United Republic of Tanzania,-3.2935606060606064,Morogoro,0.6807574408675962,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000dc,United Republic of Tanzania,,Mtwara,,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000df,United Republic of Tanzania,-2.5649665489188602,Pwani,0.4086097233310769,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e1,United Republic of Tanzania,-0.7251498067863004,Ruvuma,0.1569586782139384,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e4,United Republic of Tanzania,-1.6601808677177676,Singida,0.12934216638359533,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e5,United Republic of Tanzania,-1.4237562267963724,Tabora,0.42032913319851894,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e6,United Republic of Tanzania,-2.2816666666666667,Tanga,0.1888035880797685,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
