Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Republika Srpska,Kupres,2020,6284,0.164436117,12.03497227
Bosnia and Herzegovina,Republika Srpska,Kupres,2021,6284,0.136607289,9.212283951
Bosnia and Herzegovina,Republika Srpska,Kupres,2022,6284,0.180653781,13.80559334
Bosnia and Herzegovina,Republika Srpska,Kupres,2023,6284,0.162983671,11.88078862
Bosnia and Herzegovina,Republika Srpska,Kupres,2024,6284,0.170165747,12.65031882
Bosnia and Herzegovina,Republika Srpska,Laktasi,2020,6285,0.197416112,15.72684892
Bosnia and Herzegovina,Republika Srpska,Laktasi,2021,6285,0.201810211,16.24519222
Bosnia and Herzegovina,Republika Srpska,Laktasi,2022,6285,0.201288909,16.18338581
Bosnia and Herzegovina,Republika Srpska,Laktasi,2023,6285,0.184445113,14.23221398
Bosnia and Herzegovina,Republika Srpska,Laktasi,2024,6285,0.209226102,17.13339589
Bosnia and Herzegovina,Republika Srpska,Ljubinje,2020,6286,0.173863888,13.05345328
Bosnia and Herzegovina,Republika Srpska,Ljubinje,2021,6286,0.167366475,12.34827176
Bosnia and Herzegovina,Republika Srpska,Ljubinje,2022,6286,0.166836917,12.29143433
Bosnia and Herzegovina,Republika Srpska,Ljubinje,2023,6286,0.172459036,12.89976387
Bosnia and Herzegovina,Republika Srpska,Ljubinje,2024,6286,0.2063392996788025,16.78566346
Bosnia and Herzegovina,Republika Srpska,Lopare,2020,6287,0.2685045003890991,24.78723313
Bosnia and Herzegovina,Republika Srpska,Lopare,2021,6287,0.279862463,26.35484674
Bosnia and Herzegovina,Republika Srpska,Lopare,2022,6287,0.251712412,22.52554924
Bosnia and Herzegovina,Republika Srpska,Lopare,2023,6287,0.276264012,25.85501186
Bosnia and Herzegovina,Republika Srpska,Lopare,2024,6287,0.275636286,25.7681177
Bosnia and Herzegovina,Republika Srpska,Maglaj,2020,6289,0.306427747,30.13061822
Bosnia and Herzegovina,Republika Srpska,Maglaj,2021,6289,0.261630863,23.85314728
Bosnia and Herzegovina,Republika Srpska,Maglaj,2022,6289,0.290130556,27.79677477
Bosnia and Herzegovina,Republika Srpska,Maglaj,2023,6289,0.3299054801464081,33.58192894
Bosnia and Herzegovina,Republika Srpska,Maglaj,2024,6289,0.317234933,31.70690783
Bosnia and Herzegovina,Republika Srpska,Modrica,2020,6290,0.226349488,19.24635786
Bosnia and Herzegovina,Republika Srpska,Modrica,2021,6290,0.186479151,14.46302932
Bosnia and Herzegovina,Republika Srpska,Modrica,2022,6290,0.174267352,13.09771505
Bosnia and Herzegovina,Republika Srpska,Modrica,2023,6290,0.216426611,18.01154322
Bosnia and Herzegovina,Republika Srpska,Modrica,2024,6290,0.204823121,16.60403771
Bosnia and Herzegovina,Republika Srpska,Mostar,2020,6291,0.250472158,22.36126825
Bosnia and Herzegovina,Republika Srpska,Mostar,2021,6291,0.216371775,18.00479802
Bosnia and Herzegovina,Republika Srpska,Mostar,2022,6291,0.230453163,19.76515627
Bosnia and Herzegovina,Republika Srpska,Mostar,2023,6291,0.242602944,21.32813124
Bosnia and Herzegovina,Republika Srpska,Mostar,2024,6291,0.267431259,24.64064657
Bosnia and Herzegovina,Republika Srpska,Mrkonji] Grad,2020,6292,0.159178019,11.48030386
Bosnia and Herzegovina,Republika Srpska,Mrkonji] Grad,2021,6292,0.147651628,10.2988003
Bosnia and Herzegovina,Republika Srpska,Mrkonji] Grad,2022,6292,0.15434134006500244,10.97871217
Bosnia and Herzegovina,Republika Srpska,Mrkonji] Grad,2023,6292,0.16575101017951965,12.17518664
Bosnia and Herzegovina,Republika Srpska,Mrkonji] Grad,2024,6292,0.159528464,11.51696971
Bosnia and Herzegovina,Republika Srpska,Nevesinje,2020,6293,0.2376306802034378,20.68368768
Bosnia and Herzegovina,Republika Srpska,Nevesinje,2021,6293,0.210012525,17.22855829
Bosnia and Herzegovina,Republika Srpska,Nevesinje,2022,6293,0.169481948,12.57628767
Bosnia and Herzegovina,Republika Srpska,Nevesinje,2023,6293,0.176504418,13.34412439
