country,adm1_code,adm2_code,adm2_name,Median_Pop,StdDev_Pop,population_2024,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI
Morocco,147334,21813,Salé,0.5609141942142748,47.80349084208437,761510.0033854668,0.0141622363637723,25102.572031178,286.89948357506705,1.5472085954626582,35.45750634204578,27.15999208192598,15635.230757352929,0.3266835510730743,0.1116881930832917
Morocco,147335,21826,Taroudannt,0.740968122076821,4.468483157079318,252219.18060881257,0.0010535594627324,8344.336757432318,287.0975841638342,1.5253355115220733,2.009691524437341,5.71228636089894,8719.090025059186,0.1670293923543424,0.0723684113552147
Morocco,147335,21828,Tiznit,0.1978388210650336,2.8642685873354714,171822.49994588358,0.0019383780564381,16734.393216637825,287.0348680299523,1.5979226695325708,2.1504840761703847,6.863646222416822,5112.721074834329,0.1298320405697366,0.027935648596289
Morocco,147336,21799,Azilal,1.430477676100601,5.779428867685725,254755.62081213784,0.0006255085618665,7980.184701923535,286.39887981715344,1.825403259563384,5.240030559779322,10.173272439933182,5398.937055147063,0.2394184013245552,0.0746810928992708
Morocco,147336,21802,Béni Mellal,0.4582565602807193,9.179595159945707,822931.5575662216,0.004249086438714,13772.34008387226,287.0285970973909,1.254403240797067,7.009288913972765,14.369765568077575,23496.20844852944,0.2686276682323847,0.0834428767726296
Morocco,147337,21808,Chefchaouen,1.243246087428251,5.448132636085111,192402.9430895671,0.0023420789291439,6967.127148476579,285.73628778669064,1.3894744726618145,2.94315356871559,8.617521470367473,3676.9106078431378,0.4472370493412018,0.082802357216673
Morocco,147337,21811,Larache,0.4775311451853838,13.787059292176322,319601.7271278546,0.007042646503652,12510.39788634901,285.7647099627245,0.9962433469184432,5.4758094091088525,14.419623850050288,7125.896258578426,0.4477446862088908,0.0825236477021343
Morocco,147337,21817,Tétouan,0.7924805544444625,18.500954322028697,630828.6356409659,0.0110793921032528,19499.642145847145,287.42597311457286,1.2583510753968348,19.891158665866595,37.05551203601699,27453.153154278752,0.4242741857704363,0.1086325298884534
Morocco,147338,21787,Al Hoceïma,1.21735488871605,10.874907162015788,253130.9379014925,0.0020739493659849,17121.683218081056,286.9528903077605,1.9434222667430188,18.536341223018876,24.82044136741968,15764.467640602576,0.2021433422540096,0.0914239592422016
Morocco,147338,21790,Taounate,0.5502089338292976,3.3510458534223506,226490.555357216,0.0025456438940863,3934.525663353243,286.6906849597464,0.9039672407231896,2.35176683244429,5.937308291345679,3935.0684901960776,0.388216091050393,0.0705977035361716
Morocco,147338,21791,Taza,0.4005942922359157,9.448289393269278,250989.41851483824,0.0009542235717876,17562.881072671124,285.80080725830925,1.5489215427269911,8.626283025065128,14.858839596056848,10698.485350490184,0.2335694410971232,0.0967273028669989
Jordan,1705,36719,Al-Muwaqar,0.4350718527681265,1.8441836426835316,35757.29429789323,0.0414808498680153,18305.472397287216,283.43660955399974,0.7498893245044645,20.712128791837014,14.643701866764513,11122.49438525095,0.1655426259551729,0.041115850951385
Jordan,1705,36715,Al-Jeeza,0.1808284372669588,0.872949628853583,43641.18112183197,0.0108370567492653,26845.480846275703,283.2788034213535,0.912475831052908,14.544775027071855,15.923548858052005,17372.84967566902,0.1629657702786582,0.0552909646337827
Jordan,1705,36717,Amman,111.52309510260709,20.845611460393823,713384.8924852541,0.300842568173898,13071.557236537685,287.4771901391472,0.6656409109665422,87.2239057499512,23.923355273297634,23152.30307682823,0.15583336353302,0.0308861189024038
Jordan,1705,36714,Jami'ah,23.998225769560207,12.327051728620903,359790.44342575537,0.1650660699035403,30923.053829882483,285.7296540058404,0.7378010497902135,53.4659450675413,25.80780325099336,30183.5178591688,0.1888733476400375,0.0433161923452953
Jordan,1705,36718,Marka,31.66153073659297,34.800174823804824,616681.0101423681,0.186211401236483,24590.698240113248,285.9811765311079,1.3486129187238218,40.70937730870818,26.880836230905054,19200.777363423334,0.1517204124328298,0.0279127627822232
Jordan,1705,36720,Na'oor,3.0905679561336385,4.270224091529139,79636.55602823908,0.0186595140783535,17346.72526996173,285.5433638437537,2.1870365570445918,22.148762743860896,12.410017679505836,9818.416237513864,0.2627560389273375,0.0364603986395152
Jordan,1705,36716,Qwaismeh,21.39527919416777,11.433280586851168,331967.6589208739,0.1363949716380177,31037.89875346781,285.37388783223724,0.8983637330431858,45.75713525704703,20.89709167835123,26852.619685534573,0.1908147668974877,0.0427135350301049
Jordan,1705,36721,Sahab,1.010511520949141,7.1724272545439245,65249.08055338955,0.0247906451811634,22940.07030153905,284.442600566959,1.080545806862501,34.472886107900315,25.11666952641267,8943.888909853242,0.1749080717563629,0.0448914931401454
Jordan,1705,36722,Wadisseer,8.745405432976426,14.121099279369414,223809.93327113293,0.0718588169738849,28302.610539488796,286.7071003769432,0.945122338672562,36.73012336009631,32.69117364323011,16041.557288198304,0.2668190436250359,0.061078146949913
