country,adm1_name,adm1_code
Guinea-Bissau,Quinara,1391
Guinea-Bissau,Tombali,1393
Guinea,Mamou,40706
Guinea,Conakry,40701
Guinea,Faranah,40702
Guinea,Kankan,40703
Guinea,Kindia,40704
Haiti,Grande Anse,72911
Haiti,Nippes,72912
Haiti,Artibonite,1409
Haiti,Centre,1410
Haiti,Nord,1412
Haiti,Ouest,1415
Haiti,Sud,1416
Honduras,Choluteca,1421
Honduras,Comayagua,1423
Honduras,La Paz,1430
Honduras,Lempira,1431
Honduras,Ocotepeque,1433
Honduras,Olancho,1434
Honduras,Valle,1437
Honduras,Yoro,1438
India,Bihar,70073
India,Chhattisgarh,70075
India,Jharkhand,70078
India,Madhya Pradesh,70079
India,Uttar Pradesh,70081
India,Uttarakhand,70082
India,Andhra Pradesh,1485
India,Assam,1487
India,Delhi,1489
India,Goa,1490
India,Gujarat,1491
India,Haryana,1492
India,Himachal Pradesh,1493
India,Karnataka,1494
India,Kerala,1495
India,Lakshadweep,1496
India,Maharashtra,1498
India,Manipur,1500
India,Meghalaya,1501
India,Mizoram,1502
India,Nagaland,1503
India,Orissa,1504
India,Punjab,1505
India,Rajasthan,1506
India,Sikkim,1507
India,Tamil Nadu,1508
India,Tripura,1509
India,West Bengal,1511
India,Arunachal Pradesh,70072
India,Chandigarh,70074
India,Puducherry,70080
Indonesia,Maluku,73615
Indonesia,Bangka Belitung,73609
Indonesia,Banten,73610
Indonesia,Gorontalo,73611
Indonesia,Riau,73618
Indonesia,Bali,1513
Iraq,Basrah,1565
Iraq,Erbil,1569
Iraq,Kirkuk,1570
Iraq,Babil,1571
Iraq,Baghdad,1572
Iraq,Thi-Qar,1573
Iraq,Diyala,1575
Iraq,Missan,1577
Iraq,Ninewa,1578
Jamaica,Clarendon,1636
Jamaica,Hanover,1637
Jamaica,Manchester,1638
Jamaica,Portland,1639
Jamaica,Trelawny,1647
Jamaica,Westmoreland,1648
Jordan,Zarqa,1712
Jordan,Amman,1705
Jordan,Aqaba,1703
Jordan,Irbid,1707
Jordan,Ma'an,1709
Jordan,Madaba,1710
Jordan,Balqa,1702
Jordan,Karak,1704
Jordan,Mafraq,1711
Kenya,Central,51325
Kenya,Coast,51326
Kenya,Eastern,51327
Kenya,Nairobi,51328
Kenya,North Eastern,51329
Kenya,Nyanza,51330
Kenya,Rift Valley,51331
Kenya,Western,51332
Kyrgyzstan,Batken,1746
Kyrgyzstan,Osh,1750
Kyrgyzstan,Bishkek,147293
Kyrgyzstan,Jalal-Abad,1748
Kyrgyzstan,Naryn,1749
Kyrgyzstan,Talas,1751
Lao People's Democratic Republic,Vientiane,74346
Lao People's Democratic Republic,Xiangkhouang,74347
Lao People's Democratic Republic,Bokeo,1754
Lao People's Democratic Republic,Houaphan,1757
Lesotho,Berea,1803
Lesotho,Leribe,1805
Lesotho,Mafeteng,1806
Lesotho,Maseru,1807
Lesotho,Mohale's Hoek,1808
Lesotho,Mokhotlong,1809
Lesotho,Quthing,1811
Lesotho,Thaba Tseka,1812
Liberia,Grand Gedeh,1819
Liberia,River Gee,1827
Liberia,Gbarpolu,1816
Liberia,Lofa,1821
Liberia,Bomi,1814
Liberia,Bong,1815
Liberia,Grand Bassa,1817
Liberia,Grand Cape Mount,1818
Liberia,Grand Kru,1820
Liberia,Margibi,1822
Liberia,Maryland,1823
Liberia,Montserrado,1824
Liberia,Nimba,1825
Liberia,Sinoe,1828
Madagascar,Alaotra Mangoro,41750
Madagascar,Analamanga,41752
Madagascar,Analanjirofo,41753
Madagascar,Anosy,41755
Madagascar,Atsimo Andrefana,41756
Madagascar,Atsimo Atsinanana,41757
Madagascar,Atsinanana,41758
Madagascar,Betsiboka,41759
Madagascar,Boeny,41760
Madagascar,Bongolava,41761
Madagascar,Diana,41762
Madagascar,Haute Matsiatra,41763
Madagascar,Ihorombe,41764
Madagascar,Itasy,41765
Madagascar,Melaky,41766
Madagascar,Menabe,41767
Madagascar,Sava,41768
Madagascar,Sofia,41769
Madagascar,Vakinankaratra,41770
Madagascar,Vatovavy Fitovinany,41771
Mali,Gao,1927
Mali,Kidal,1929
Mali,Kayes,1928
Mali,Koulikoro,1930
Mali,Mopti,1931
Mali,Sikasso,1933
Mali,Tombouctou,1934
Mali,Bamako,1926
Mauritania,Adrar,2004
Mauritania,Assaba,2005
Mauritania,Brakna,2006
Mauritania,Gorgol,2008
Mauritania,Inchiri,2012
Mauritania,Nouakchott,2013
Mauritania,Tagant,2014
Mauritania,Trarza,2016
Mexico,Aguascalientes,2028
Mexico,Baja California,2029
Mexico,Baja California Sur,2030
"Moldova, Republic of",Chisinau,2064
Mongolia,Ulaanbaatar,2095
Morocco,Grand Casablanca,147330
Morocco,Oriental,2109
Mozambique,Maputo,41373
Mozambique,Cabo Delgado,2112
Mozambique,Gaza,2113
Mozambique,Inhambane,2114
Mozambique,Manica,2115
Myanmar,Rakhine,2123
Myanmar,Chin,2125
Myanmar,Kachin,2127
Myanmar,Kayin,2128
Myanmar,Magway,2130
Myanmar,Mandalay,2131
Myanmar,Mon,2132
Myanmar,Sagaing,2133
Myanmar,Taninthayi,2135
Myanmar,Yangon,2136
Namibia,Caprivi,2137
Namibia,Erongo,2138
Namibia,Hardap,2139
Namibia,Karas,2140
Namibia,Kavango,2141
Namibia,Khomas,2142
Namibia,Kunene,2143
Namibia,Ohangwena,2144
