model,mask,cv_strategy,fold_index,R2,RMSE,MAE,n_test_obs
KNN,no,country,5,0.1831,0.1746,0.1367,1138
KNN,no,timeseries,1,0.6722,0.1077,0.074,948
KNN,no,timeseries,2,0.7194,0.0952,0.0651,948
KNN,no,timeseries,3,0.8276,0.0735,0.0496,948
KNN,no,timeseries,4,0.8109,0.0721,0.0449,948
KNN,no,timeseries,5,0.6653,0.0958,0.0608,948
RF,yes,random,1,0.9017,0.0552,0.0368,1066
RF,yes,random,2,0.9173,0.0494,0.0333,1066
RF,yes,random,3,0.9158,0.0521,0.0349,1066
RF,yes,random,4,0.9204,0.05,0.0335,1066
RF,yes,random,5,0.9212,0.0501,0.0343,1066
RF,yes,governorate,1,0.7295,0.0939,0.0698,1066
RF,yes,governorate,2,0.7071,0.099,0.0712,1066
RF,yes,governorate,3,0.6568,0.1032,0.0777,1066
RF,yes,governorate,4,0.6947,0.0937,0.0699,1066
RF,yes,governorate,5,0.7148,0.0926,0.0692,1066
RF,yes,country,1,0.621,0.1276,0.1055,1066
RF,yes,country,2,0.1132,0.1132,0.0872,1067
RF,yes,country,3,0.6659,0.1036,0.0779,1065
RF,yes,country,4,0.6166,0.107,0.0856,1066
RF,yes,country,5,0.5424,0.1153,0.0814,1066
RF,yes,timeseries,1,0.8687,0.068,0.0468,888
RF,yes,timeseries,2,0.7799,0.0816,0.0562,888
RF,yes,timeseries,3,0.8561,0.0648,0.0445,888
RF,yes,timeseries,4,0.8811,0.0574,0.04,888
RF,yes,timeseries,5,0.8331,0.0649,0.0445,888
RF,no,random,1,0.8907,0.059,0.0388,1138
RF,no,random,2,0.9141,0.0528,0.0352,1138
RF,no,random,3,0.9195,0.0505,0.0343,1138
RF,no,random,4,0.9167,0.0523,0.0354,1137
RF,no,random,5,0.9145,0.0527,0.036,1137
RF,no,governorate,1,0.6293,0.111,0.0827,1138
RF,no,governorate,2,0.7574,0.094,0.067,1138
RF,no,governorate,3,0.7397,0.09,0.069,1138
RF,no,governorate,4,0.7484,0.0825,0.0621,1137
RF,no,governorate,5,0.6637,0.1059,0.0757,1137
RF,no,country,1,0.2506,0.1295,0.1001,1137
RF,no,country,2,0.589,0.1253,0.0983,1138
RF,no,country,3,0.5654,0.1242,0.0932,1137
RF,no,country,4,0.6027,0.0953,0.0678,1138
RF,no,country,5,0.5143,0.1346,0.104,1138
RF,no,timeseries,1,0.8322,0.0771,0.0533,948
RF,no,timeseries,2,0.8209,0.076,0.0526,948
RF,no,timeseries,3,0.8666,0.0647,0.0464,948
RF,no,timeseries,4,0.8703,0.0597,0.0417,948
RF,no,timeseries,5,0.8225,0.0698,0.0506,948
SVR,yes,random,1,0.8041,0.0779,0.0628,1066
SVR,yes,random,2,0.8224,0.0725,0.0585,1066
SVR,yes,random,3,0.8354,0.0729,0.0594,1066
SVR,yes,random,4,0.8173,0.0757,0.0613,1066
SVR,yes,random,5,0.8239,0.0749,0.0608,1066
SVR,yes,governorate,1,0.5757,0.1176,0.0887,1066
SVR,yes,governorate,2,0.4257,0.1386,0.0976,1066
SVR,yes,governorate,3,0.4641,0.1289,0.103,1066
SVR,yes,governorate,4,0.2775,0.1442,0.1089,1066
SVR,yes,governorate,5,0.5246,0.1195,0.0928,1066
SVR,yes,country,1,0.1426,0.1919,0.1443,1066
SVR,yes,country,2,-1.2032,0.1784,0.1319,1067
SVR,yes,country,3,0.189,0.1614,0.1238,1065
SVR,yes,country,4,0.3869,0.1353,0.1073,1066
SVR,yes,country,5,0.1844,0.1539,0.1189,1066
SVR,yes,timeseries,1,0.7472,0.0943,0.0741,888
SVR,yes,timeseries,2,0.5715,0.1138,0.0872,888
SVR,yes,timeseries,3,0.7111,0.0918,0.0734,888
