country,adm1_code,adm2_code,adm2_name,Median_Pop,StdDev_Pop,population_2024,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI,ndvi_lst_ratio
Turkey,3035,27638,Cumayeri,0.08865540324259231,1.6149196446404526,8394.074789327336,0.02264185118506458,2680.416966393195,283.0907210502115,0.5018154354948756,4.196667797974853,5.862506995923033,670.2325336177486,0.6474053382873535,0.06211205250974343,0.002286918256753897
Turkey,3035,27639,Dortdivan,0.07816908282384544,0.8027715281329298,2551.6131880827315,0.0028420080178080407,847.221449772288,274.91490656029197,0.6707857639704432,3.085333588681283,3.443997168199409,392.043054668435,0.3842520773410797,0.02464654762993457,0.001397712776468921
Turkey,3035,27640,Duzce,1.0169729185112497,10.860376112076365,258516.2353160531,0.03722739184666426,21654.184729507055,283.0540372078399,0.7000629194663734,13.57235834971878,14.634217053986506,18449.94459099948,0.5529142029215438,0.09264116436448168,0.0019533874463537573
Turkey,3034,27635,Tatvan,0.8042440121948274,6.6224626022844095,49297.249086890995,0.0028234326888370107,24414.49821448507,278.730735125646,2.0680146304104157,27.46498885796464,24.58677433926563,5457.993374028855,0.24858462776988743,0.07592026146288612,0.0008918450548979849
Turkey,3035,27641,Gerede,-0.025926281534047413,1.6131832275862672,13970.139560334412,0.004105356283283898,13732.666736543071,275.2607038229805,0.9949770676473337,5.831629096057011,11.669438754623393,2636.010697086319,0.36174456402659416,0.06758686088558465,0.001314188908923343
Turkey,3035,27642,Golyaka,0.385591499790696,2.581751514914972,8921.874095726656,0.009202608411225156,13286.874256155479,283.20995627946866,0.4848912790985615,6.929892513458865,6.97417979770892,840.0116768275042,0.5707230042603056,0.06815588731596664,0.0020151939986782176
Turkey,3035,27644,Gumusova,0.33558857647259765,1.0121958332989556,4095.864131451877,0.022489415703882115,2847.442022381137,283.1710777826398,0.3786173179446072,10.586791425075486,7.2383062639803875,1529.1478500720802,0.5647974014282227,0.09282117127047851,0.0019945448025654555
Turkey,3035,27646,Mengen,0.034801446908033926,1.4253932875462558,9613.230880113999,0.0036579630342057773,6085.63447652111,279.62057984761884,1.1654345788654257,3.432349738234896,5.885639498518505,847.7903853440193,0.5870699137449265,0.07031116327565337,0.002099523268512118
Turkey,3035,27647,Merkez,-0.010694618756943136,9.26333468376507,167699.5395802256,0.009488051017178444,17840.76432041344,278.9807027684483,1.0003182137924733,13.92259627173645,18.94482487692762,12166.929582662107,0.42648035453425515,0.08243706097384221,0.0015287091555154278
Turkey,3035,27650,Yenicaga,0.10580882630023158,2.3228558894758295,5784.84783947794,0.009706918645635384,15263.409021092604,276.8219409539602,1.1824403103031034,6.17917069622099,7.3201099453744884,537.5878505712261,0.392804483572642,0.07898456452913419,0.0014189788649663848
